name,lat,lng,rating,opening_hours,direccion,ciudad,rubro
Mirador Los Andes,-33.043923,-71.552411,3.3,,"Alejandro Navarrete 324, Viña del Mar","Vina del Mar, Chile",museo
La Roca del león,-32.990802,-71.548749,3.0,,Viña del Mar,"Vina del Mar, Chile",museo
Viña Corporacion,-33.021675,-71.546088,0.0,,"2 - 1/2 Nte. 1010-1072, Viña del Mar","Vina del Mar, Chile",museo
Teodoro González,-32.993777,-71.492842,0.0,,"C. Tres 210, Viña del Mar","Vina del Mar, Chile",museo
Palacio Silva de Balboa,-32.979074,-71.545952,0.0,{'open_now': False},"Av. Borgoño 12945, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",museo
Busto del General San Martín,-33.015029,-71.555467,0.0,,"San Martín 636, Viña del Mar","Vina del Mar, Chile",museo
Aristotolo,-33.049781,-71.559291,0.0,,"Agua Santa 5, 7, Viña del Mar","Vina del Mar, Chile",museo
Pescados Y Mariscos Delivery,-33.016201,-71.554184,5.0,,"3 Pte. 563, Viña del Mar","Vina del Mar, Chile",pescados
PECADO DEL INKA,-33.024763,-71.560158,4.7,{'open_now': True},"Ecuador 280, Viña del Mar","Vina del Mar, Chile",pescados
El Capitan,-33.024498,-71.545194,4.7,{'open_now': False},"La Marina 1130, Viña del Mar","Vina del Mar, Chile",pescados
Pecado Del Inka,-33.012071,-71.543954,4.7,{'open_now': True},"12 Nte. 1114, Viña del Mar","Vina del Mar, Chile",pescados
"Pescadería y Almuerzos ""San Pedro""",-33.010197,-71.506568,4.6,{'open_now': False},"Manuel Guerrero 51, Viña del Mar","Vina del Mar, Chile",pescados
Cuzco Sabores,-33.018093,-71.558109,4.6,{'open_now': True},"6 Pte. 338, Viña del Mar","Vina del Mar, Chile",pescados
Ají del Mar,-33.019808,-71.557805,4.5,{'open_now': True},"2 norte, 5 - 1/2 Pte. 130, Viña del Mar","Vina del Mar, Chile",pescados
La Ostra,-32.971003,-71.544134,4.5,{'open_now': False},"Central 150, Renaca, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Pescado Del Ika,-33.012068,-71.543974,4.5,{'open_now': True},"12 Nte. 1112, Viña del Mar","Vina del Mar, Chile",pescados
Sazón Nazca Viña del Mar,-33.024262,-71.549428,4.4,{'open_now': True},"Arlegui 863, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Divino Pecado,-33.019431,-71.559049,4.4,{'open_now': False},"San Martín 180 Esquina 3 norte Viña del Mar, Valparaíso","Vina del Mar, Chile",pescados
Donde Willy Restaurant,-33.016447,-71.554898,4.3,{'open_now': True},"Luis Borgoño 17, Viña del Mar","Vina del Mar, Chile",pescados
Tierra de Fuego,-33.014236,-71.55604,4.3,{'open_now': True},"Playa Acapulco, 8 Nte. Nº 65, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Y Cevicheria Don Augusto,-33.024823,-71.544995,4.2,{'open_now': False},"Arlegui 1175, Local 36, Viña del Mar","Vina del Mar, Chile",pescados
HeyFish! Restaurante,-33.010646,-71.546324,4.2,{'open_now': True},"13 Nte. 902, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Siete Mares,-32.955723,-71.547043,4.1,{'open_now': False},"Av. Borgoño 17150, Viña del Mar","Vina del Mar, Chile",pescados
Restaurant D'lamari,-32.955437,-71.547027,4.1,{'open_now': False},"Av. Borgoño 17150, Viña del Mar","Vina del Mar, Chile",pescados
Cocineria La Consentida,-33.024823,-71.544995,3.8,{'open_now': False},"Arlegui 1175, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Los Pomairinos,-32.969341,-71.544959,2.4,{'open_now': False},"Av. Borgoño 14890, Viña del Mar","Vina del Mar, Chile",pescados
Mi Caleta,-33.012191,-71.540793,0.0,{'open_now': False},"Quillota 1130, Valparaíso, Viña del Mar 2531015","Vina del Mar, Chile",pescados
Don Emelio Restaurante,-33.016663,-71.555043,4.8,{'open_now': False},"6 Nte. 325, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",restaurant
Sativo Wok & Bowls,-33.016601,-71.554607,4.8,{'open_now': True},"6 Nte. 373, Viña del Mar","Vina del Mar, Chile",restaurant
Pecado Del Inka,-33.012071,-71.543954,4.7,{'open_now': True},"12 Nte. 1114, Viña del Mar","Vina del Mar, Chile",restaurant
Don Vito e Zanoni,-33.014607,-71.554116,4.7,{'open_now': True},"8 Nte. 375, Viña del Mar","Vina del Mar, Chile",restaurant
Otra Cozza Viña del Mar,-33.014632,-71.55394,4.6,{'open_now': True},"8 Nte. 393, Viña del Mar","Vina del Mar, Chile",restaurant
Cuzco Sabores,-33.018093,-71.558109,4.6,{'open_now': True},"6 Pte. 338, Viña del Mar","Vina del Mar, Chile",restaurant
Ilo Mapu,-33.016632,-71.556406,4.6,{'open_now': False},"6 Nte. 228, Viña del Mar","Vina del Mar, Chile",restaurant
El Austriaco,-33.019401,-71.558429,4.5,{'open_now': False},"3 Nte. 105, Viña del Mar","Vina del Mar, Chile",restaurant
Milamores,-33.020708,-71.55784,4.5,{'open_now': False},"2 Nte. 162, Viña del Mar","Vina del Mar, Chile",restaurant
Ristorante San Marco,-33.015612,-71.556473,4.5,{'open_now': False},"San Martín 597, Viña del Mar","Vina del Mar, Chile",restaurant
La Flor de Chile,-33.01504,-71.551219,4.4,{'open_now': True},"8 norte 601, esquina, 1 Pte, Viña del Mar","Vina del Mar, Chile",restaurant
La Cabaña Restaurante,-33.009503,-71.547383,4.4,{'open_now': True},"1 Oriente, 14 Nte. 1274, Viña del Mar","Vina del Mar, Chile",restaurant
Restaurante Divino Pecado,-33.019431,-71.559049,4.4,{'open_now': False},"San Martín 180 Esquina 3 norte Viña del Mar, Valparaíso","Vina del Mar, Chile",restaurant
Nogaró,-33.01895,-71.561612,4.4,{'open_now': True},"Av. Perú 100, Viña del Mar","Vina del Mar, Chile",restaurant
Castillo del mar,-33.02062,-71.565306,4.4,{'open_now': False},"Av. Marina 50, Viña del Mar","Vina del Mar, Chile",restaurant
Tierra de Fuego,-33.014236,-71.55604,4.3,{'open_now': True},"Playa Acapulco, 8 Nte. Nº 65, Viña del Mar","Vina del Mar, Chile",restaurant
La Ciboulette,-33.021145,-71.55722,4.3,{'open_now': False},"5 Pte. 80, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",restaurant
Donde Willy Restaurant,-33.016447,-71.554898,4.3,{'open_now': True},"Luis Borgoño 17, Viña del Mar","Vina del Mar, Chile",restaurant
Chez Gerald,-33.016403,-71.558449,4.2,{'open_now': False},"Perú 496, Valparaíso, Viña del Mar","Vina del Mar, Chile",restaurant
La Cuisine,-33.016714,-71.554743,4.1,{'open_now': True},"6 Nte. 357, Viña del Mar","Vina del Mar, Chile",restaurant
Hotel Macasi,-33.025972,-71.563016,5.0,,"Agua Santa 80, Valparaíso, Viña del Mar 2580316","Vina del Mar, Chile",hotel
Esencia Hotel Boutique,-33.017626,-71.553672,5.0,,"Cinco Nte. 449, Casa 3, Valparaíso, Viña del Mar 2520165","Vina del Mar, Chile",hotel
The New York Hotel,-33.029204,-71.564557,4.7,{'open_now': True},"Tongoy 57, C1, Viña del Mar","Vina del Mar, Chile",hotel
Sheraton Miramar Hotel & Convention Center,-33.021128,-71.568046,4.6,,"Av. Marina 15, Viña del Mar","Vina del Mar, Chile",hotel
Hotel Torreviña,-33.027635,-71.558393,4.6,,"Traslaviña 421, Viña del Mar","Vina del Mar, Chile",hotel
Dei Templi Apart Hotel,-32.961852,-71.544845,4.6,{'open_now': True},"Av Edmundo Eluchans 1475, Viña del Mar","Vina del Mar, Chile",hotel
180 Hotel Boutique,-33.023158,-71.561692,4.6,,"Vista Hermosa 180, Valparaíso, Viña del Mar","Vina del Mar, Chile",hotel
Best Western Hotel Marina del Rey,-33.024884,-71.559671,4.5,,"Ecuador 299, Valparaíso, Viña del Mar 2571530","Vina del Mar, Chile",hotel
Hotel Diego de Almagro,-33.02135,-71.557382,4.5,,"1 Nte. 221, Viña del Mar","Vina del Mar, Chile",hotel
Enjoy del Mar,-33.018566,-71.560857,4.5,,"San Martín 199, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",hotel
Novotel Viña del Mar,-33.017171,-71.549864,4.4,,"6 Nte. 745, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",hotel
Cap Ducal,-33.019417,-71.563573,4.4,,"Av. Marina 51, Viña del Mar","Vina del Mar, Chile",hotel
Hotel Bosque de Reñaca,-32.966052,-71.529418,4.4,{'open_now': True},"Dublé Almeyda 80, Viña del Mar","Vina del Mar, Chile",hotel
HOTEL NORTH SOUTH,-33.01827,-71.551009,4.3,{'open_now': True},"5 Nte. 683, Viña del Mar","Vina del Mar, Chile",hotel
Pullman Vina del Mar San Martín,-33.014567,-71.55581,4.2,,"San Martín 667, Valparaíso, Viña del Mar 2520096","Vina del Mar, Chile",hotel
Hotel Oceanic,-32.983742,-71.547963,4.2,{'open_now': True},"Av. Borgoño 12925, Viña del Mar","Vina del Mar, Chile",hotel
Gala Hotel y Centro de Eventos,-33.022862,-71.558642,4.2,,"Arlegui 273, Viña del Mar","Vina del Mar, Chile",hotel
Magno Hotel,-33.023333,-71.557222,4.1,{'open_now': True},"Arlegui 372, Viña del Mar","Vina del Mar, Chile",hotel
Hotel 3 Poniente,-33.021411,-71.554997,4.0,{'open_now': True},"3 Pte. 70, Viña del Mar","Vina del Mar, Chile",hotel
Hotel Montecarlo,-32.97329,-71.543678,3.9,,"Vicuña Mackenna 136, Viña del Mar","Vina del Mar, Chile",hotel
Casa Museo Escultor JUCA,-33.400523,-71.634393,5.0,{'open_now': False},"Valparaíso CL, Nuevo Camino Costero, Algarrobo, El Quisco 2710000",Algarrobo,museo
Museo Julio Munizaga,-33.192024,-71.697065,5.0,,"Manuel Rodriguez, Casablanca",Algarrobo,museo
Mirador Punta De Tralca,-33.430385,-71.69984,4.9,{'open_now': True},El Quisco,Algarrobo,museo
Playa Mirasol Humedal,-33.320899,-71.651433,4.8,,Algarrobo,Algarrobo,museo
Sala De Ensayo Algarrobo,-38.927028,-69.224455,4.8,,Cutral Có,Algarrobo,museo
"Bajada Las Gaviotas, Isla Negra, El Quisco, 5° Region Chile",-33.442253,-71.682656,4.7,{'open_now': False},"Bajada las Gaviotas Bajada las Gaviotas ISLA NEGRA, Valparaíso",Algarrobo,museo
Museo del Algarrobo,-32.352952,-65.015479,4.6,,Villa de Merlo,Algarrobo,museo
Algarrobo historico,-30.769986,-64.110202,4.6,,"San Martin, Sarmiento",Algarrobo,museo
Algarrobo Historico,-31.468772,-64.546166,4.6,{'open_now': True},Los Pinos,Algarrobo,museo
Casa de Isla Negra,-33.442945,-71.683836,4.6,{'open_now': False},"Poeta Neruda s/n, Isla Negra, El Quisco",Algarrobo,museo
El Totoral,-33.417927,-71.624423,4.5,,"Unnamed Road, El Quisco",Algarrobo,museo
Artesanias El Algarrobo,-26.595098,-65.861067,4.5,{'open_now': True},"Ruta Provincial 307, Ampimpa, San Miguel de Tucumán",Algarrobo,museo
Casa de la Cultura Algarrobo,-33.359341,-71.664148,4.5,{'open_now': False},"Av. Carlos Alessandri 1633, Algarrobo",Algarrobo,museo
Museo Pablo Neruda,-33.442176,-71.682974,4.4,{'open_now': False},"Pje. Gonzalito, Isla Negra, El Quisco",Algarrobo,museo
"Museo Vicente Huidobro, Cartagena",-33.554384,-71.599774,4.4,{'open_now': False},"Cmo. Eden del Poeta, Cartagena",Algarrobo,museo
El Muelle De El Quisco,-33.394542,-71.698172,4.1,,"Costanera Sur 216, El Quisco",Algarrobo,museo
Algarrobo histórico,-32.68977,-68.579129,4.0,,,Algarrobo,museo
Beatriz Valdes B,-33.297928,-71.617262,3.5,{'open_now': False},Algarrobo,Algarrobo,museo
Mirador de rocas El Quisco,-33.401273,-71.671671,0.0,,El Quisco,Algarrobo,museo
Remote Waters,-33.315369,-71.59696,0.0,,"F-820, Algarrobo",Algarrobo,museo
casacosta gastronomia123,-33.359983,-71.655651,4.6,{'open_now': False},"v, Algarrobo",Algarrobo,pescados
Cavafe Restaurant,-33.355769,-71.653021,4.6,{'open_now': False},"Av. Carlos Alessandri #264, Algarrobo, 2710000",Algarrobo,pescados
PESCADERIA RENACER,-33.371074,-71.671402,4.6,,"Av. Ignacio Carrera Pinto, Algarrobo",Algarrobo,pescados
Cevicheria Al Paso & Mas,-33.361353,-71.666992,4.6,{'open_now': True},"Av. Carlos Alessandri 1989, Algarrobo",Algarrobo,pescados
Macerado Algarrobo,-33.365566,-71.673279,4.5,{'open_now': False},"Las Tinajas 2678, Algarrobo",Algarrobo,pescados
Cava y Brasas,-33.376193,-71.679915,4.4,,"Minas Gerais 1250, Algarrobo",Algarrobo,pescados
el galeon,-33.371662,-71.667288,4.4,{'open_now': True},Algarrobo,Algarrobo,pescados
Los Patitos,-33.355779,-71.654053,4.4,{'open_now': False},"Av. Carlos Alessandri 278, Algarrobo, 2710000",Algarrobo,pescados
Laguna Tinajas Restaurant,-33.356264,-71.656943,4.3,{'open_now': False},"Av. Carlos Alessandri 780, Algarrobo, 2170000",Algarrobo,pescados
Restaurante Peces Gordos,-33.354326,-71.655642,4.3,{'open_now': True},Algarrobo,Algarrobo,pescados
CASA DOMINGA ALGARROBO,-33.357984,-71.659018,4.3,{'open_now': False},"Julio Hurtado 1100, Algarrobo",Algarrobo,pescados
Restaurant Brisas del Mar,-33.342602,-71.648187,4.2,{'open_now': True},"Av. Mirasol S/N, Algarrobo",Algarrobo,pescados
"PESCADERÍA RENACER, EMPANADAS Y COLACIONES",-33.370897,-71.671712,4.2,{'open_now': True},"El Madroño 730, Algarrobo",Algarrobo,pescados
Caleta De Algarrobo,-33.363592,-71.672857,4.1,{'open_now': False},"Av. Carlos Alessandri 325, Algarrobo",Algarrobo,pescados
Cinco Océanos,-33.361297,-71.671199,4.1,{'open_now': True},"Av. Algarrobo 2301, Algarrobo, 2710000",Algarrobo,pescados
Restaurante Las Tinajas,-33.35769,-71.661174,4.1,{'open_now': True},"Av. Carlos Alessandri 1327, Algarrobo",Algarrobo,pescados
Restaurante Reina del Mar Algarrobo Comida y sushi,-33.374302,-71.677514,4.0,{'open_now': False},"Av. Ignacio Carrera Pinto 1246, Algarrobo, 2710783",Algarrobo,pescados
Restaurante Nicofer,-33.372348,-71.666307,3.8,{'open_now': False},"Quebrada los Pescadores, Algarrobo",Algarrobo,pescados
Donde Matías,-33.371412,-71.667508,3.8,{'open_now': True},"Luz Divina 1273b, Algarrobo",Algarrobo,pescados
Al Muelle Restaurant,-33.362377,-71.671187,3.5,{'open_now': False},"Av. Carlos Alessandri 2383, Algarrobo",Algarrobo,pescados
Bar A. Melgares,36.771723,-4.039771,4.9,{'open_now': False},"Calle De, C. Antonio Ruiz Rivas, 31, 29750 Algarrobo",Algarrobo,restaurant
El Benito,36.774141,-4.039045,4.8,{'open_now': False},"Calle Rodalcuzar, 5, 29750 Algarrobo",Algarrobo,restaurant
Restaurante El Nido,36.77122,-4.04035,4.8,{'open_now': False},"Av. de Karat, 6, 29750 Algarrobo",Algarrobo,restaurant
Burguer Rebeca,36.772136,-4.037705,4.7,{'open_now': False},"Carr. Sayalonga, 1, 29750 Algarrobo",Algarrobo,restaurant
Restaurante D'Picoteo,36.746029,-4.0524,4.6,{'open_now': False},"Av. Torre Ladeada, 5, 29750 Algarrobo",Algarrobo,restaurant
Restaurante La Barca,36.745539,-4.052338,4.6,{'open_now': False},"Centro Internacional, Bloque 71 Costa, Algarrobo",Algarrobo,restaurant
M&S Algarrobo,36.773545,-4.039044,4.6,{'open_now': False},"Av. del Arroyuelo, 29750 Algarrobo",Algarrobo,restaurant
Lounge La ReyMora,36.773405,-4.038464,4.6,{'open_now': False},"C. la Escalerilla, 3, 29750 Algarrobo",Algarrobo,restaurant
BaoBaB Beach House,36.744951,-4.049549,4.5,{'open_now': False},"Paseo Maritimo Pablo Ruiz Picasso, No 3, Chiringuito nº3, 29750 Algarrobo",Algarrobo,restaurant
Restaurante Pippo,36.746197,-4.053388,4.5,{'open_now': False},"Edificio Habana, Urbanizacion Pueblo Nuevo, Bajo, 29750 Algarrobo",Algarrobo,restaurant
Bar De Copas Marboro,36.773401,-4.038856,4.3,{'open_now': False},"Av. del Arroyuelo, 29750 Algarrobo",Algarrobo,restaurant
Restaurante Asiatico Feng,36.747327,-4.052948,4.3,{'open_now': False},"Urb Rio Algarrobo, Av. de Andalucía, 35 bajo, 29750 Algarrobo",Algarrobo,restaurant
El Callejon,36.747478,-4.05659,4.2,{'open_now': False},"C. Enrique Gonzalez, 29750 Algarrobo",Algarrobo,restaurant
Meson Los Lobos,36.754426,-4.052285,4.2,{'open_now': False},"C. los Lobos, 35, 29751 Algarrobo",Algarrobo,restaurant
Chiringuito Rompeolas,36.746891,-4.055832,4.2,{'open_now': False},"P.º Marítimo, 29750 Algarrobo",Algarrobo,restaurant
Bar Bellavista,36.771727,-4.037715,4.2,{'open_now': False},"Carr. Sayalonga, 4, 29750 Algarrobo",Algarrobo,restaurant
Asador Entre Fuegos,36.74738,-4.055807,4.1,{'open_now': False},29751 Algarrobo,Algarrobo,restaurant
Tizos,36.746719,-4.05265,4.1,{'open_now': False},"Avd. Andalucía, edf Panamá bajo, Urbanizacion Pueblo Nuevo, 29750 Algarrobo",Algarrobo,restaurant
Restaurante Bravo,36.74699,-4.054879,4.0,,"Urbanización Pueblo Nuevo, Av. de Andalucía, s/n, 29750 Algarrobo-Costa, Málaga",Algarrobo,restaurant
Restaurante bravo Algarrobo Costa,36.772816,-4.040448,2.8,{'open_now': False},"paseo Maritime og Edif Montevideo 2950, Algarrobo",Algarrobo,restaurant
Pao Pao Lodge Algarrobo,-33.364777,-71.670555,5.0,,"Camino a Mirasol s/n Algarrobo, Valparaíso",Algarrobo,hotel
Bed and Breakfast Lezaeta,-33.358773,-71.660769,4.8,{'open_now': True},"Julio Hurtado 1335, Algarrobo",Algarrobo,hotel
Los Pitigues,-33.362513,-71.650675,4.8,,Algarrobo,Algarrobo,hotel
Pinares del Canelillo,-33.366,-71.685842,4.8,,"Av. El Canelo 101, Algarrobo",Algarrobo,hotel
Hostal La Candelaria,-33.358822,-71.659011,4.8,,"Camino a Casa Blanca 325, Algarrobo, 2710000",Algarrobo,hotel
Cinque Colori,-33.332977,-71.648537,4.7,{'open_now': True},"Cruce G-94-f - San Sebastián - Algarrobo - Mira, Algarrobo",Algarrobo,hotel
San Alfonso del Mar - Porteria Sur,-33.352038,-71.652615,4.7,,"Camino a, Av. Mirasol 560, Algarrobo",Algarrobo,hotel
Hotel Boutique Mar de Royal,-33.393828,-71.703565,4.7,{'open_now': True},"Costanera Sur 302, Valparaíso, El Quisco 2700000",Algarrobo,hotel
Cabañas Marina Zen,-33.371815,-71.637937,4.6,{'open_now': True},Camino Casa Blanca,Algarrobo,hotel
Cabañas Algarrobo Lodge,-33.370412,-71.673902,4.5,{'open_now': True},"Contulmo 2875, Algarrobo",Algarrobo,hotel
Residencial Vera,-33.358539,-71.663071,4.5,,"Av. Carlos Alessandri 1521, Algarrobo, 2711420",Algarrobo,hotel
Winery Boutique Hotel,-33.363982,-71.671668,4.4,,"Valparaíso, Av. Dr. Guillermo Mucke 110, Algarrobo",Algarrobo,hotel
Cabañas Orimatila,-33.3584,-71.657638,4.4,{'open_now': True},"Cirilo Didier 699, Algarrobo",Algarrobo,hotel
Playa Las Cadenas,-33.360924,-71.665094,4.4,{'open_now': True},"Av. Carlos Alessandri 1928, Algarrobo",Algarrobo,hotel
Cabañas Kas Algarrobo,-33.370907,-71.671762,4.4,{'open_now': True},"El Madroño 737, Algarrobo",Algarrobo,hotel
Brisas de Cantabria,-33.361674,-71.668893,4.4,{'open_now': True},"Av. Carlos Alessandri 2156, Algarrobo",Algarrobo,hotel
Kai Hotel Boutique,-33.368184,-71.6801,4.3,{'open_now': False},"Av. Sta. Teresita 3399, Algarrobo",Algarrobo,hotel
Restaurant & Hotel Medio Mundo,-33.35899,-71.663664,4.3,{'open_now': False},"Av. Carlos Alessandri 1579, Algarrobo",Algarrobo,hotel
Hotel Pacífico de Algarrobo,-33.361528,-71.666414,3.6,,"Av. Carlos Alessandri 1930, Algarrobo",Algarrobo,hotel
